Created On,State,Reported By,Reported Date,Week Ending Date,Sent to CFT Date,Duration,Activity,Activity Description,Billing Rate,IBM WorkItem
2025-09-12,Approved,Renata C Ishie Campos De Oliveira,2025-09-09,2025-09-12,,0.5,GB0020,General Billable,,8BC09NEY
2025-09-29,Approved,Luana A Munhoz,2025-09-10,2025-09-12,,1.0,GB0020,General Billable,,8BC09NEY
2025-09-29,Approved,Luana A Munhoz,2025-09-12,2025-09-12,,1.6,GB0020,General Billable,,8BC09NEY
2025-09-29,Approved,Luana A Munhoz,2025-09-18,2025-09-19,,0.2,GB0020,General Billable,,8BC09NEY
2025-09-29,Approved,Luana A Munhoz,2025-09-19,2025-09-19,,0.5,GB0020,General Billable,,8BC09NEY
2025-10-01,Approved,Elaine Balbino,2025-09-22,2025-09-26,,0.2,GB0020,General Billable,,8BC09NEY
2025-09-29,Approved,Luana A Munhoz,2025-09-24,2025-09-26,,0.1,GB0020,General Billable,,8BC09NEY
2025-10-01,Approved,Elaine Balbino,2025-09-24,2025-09-26,,1.0,GB0020,General Billable,,8BC09NEY
2025-10-01,Approved,Elaine Balbino,2025-09-26,2025-09-26,,0.3,GB0020,General Billable,,8BC09NEY
2025-10-01,Approved,Elaine Balbino,2025-09-29,2025-10-03,,0.2,GB0020,General Billable,,8BC09NEY
2025-10-13,Approved,Luana A Munhoz,2025-09-30,2025-10-03,,0.1,GB0020,General Billable,,8BC09NEY
2025-10-01,Approved,Elaine Balbino,2025-10-01,2025-10-03,,1.0,GB0020,General Billable,,8BC09NEY
2025-10-13,Approved,Luana A Munhoz,2025-10-01,2025-10-03,,0.1,GB0020,General Billable,,8BC09NEY
2025-10-01,Approved,Elaine Balbino,2025-10-03,2025-10-03,,0.3,GB0020,General Billable,,8BC09NEY
2025-10-13,Approved,Luana A Munhoz,2025-10-03,2025-10-03,,0.2,GB0020,General Billable,,8BC09NEY
2025-10-18,Approved,Elaine Balbino,2025-10-06,2025-10-10,,0.2,GB0020,General Billable,,8BC09NEY
2025-10-13,Approved,Luana A Munhoz,2025-10-07,2025-10-10,,0.1,GB0020,General Billable,,8BC09NEY
2025-10-18,Approved,Elaine Balbino,2025-10-09,2025-10-10,,0.3,GB0020,General Billable,,8BC09NEY
2025-10-08,Approved,Thenile Pinheiro Marques,2025-10-10,2025-10-10,,2.0,GB0020,General Billable,,8BC09NEY
2025-10-18,Approved,Elaine Balbino,2025-10-13,2025-10-17,,0.2,GB0020,General Billable,,8BC09NEY
2025-10-16,Approved,Thenile Pinheiro Marques,2025-10-16,2025-10-17,,2.0,GB0020,General Billable,,8BC09NEY
2025-10-18,Approved,Elaine Balbino,2025-10-17,2025-10-17,,0.2,GB0020,General Billable,,8BC09NEY
2025-10-23,Approved,Thenile Pinheiro Marques,2025-10-20,2025-10-24,,2.0,GB0020,General Billable,,8BC09NEY
2025-10-24,Approved,Elaine Balbino,2025-10-20,2025-10-24,,0.2,GB0020,General Billable,,8BC09NEY
2025-10-23,Approved,Thenile Pinheiro Marques,2025-10-23,2025-10-24,,4.0,GB0020,General Billable,,8BC09NEY
2025-10-29,Approved,Luana A Munhoz,2025-10-23,2025-10-24,,0.3,GB0020,General Billable,,8BC09NEY
2025-10-24,Approved,Elaine Balbino,2025-10-24,2025-10-24,,0.2,GB0020,General Billable,,8BC09NEY
2025-10-28,Approved,Thenile Pinheiro Marques,2025-10-28,2025-10-31,,8.0,GB0020,General Billable,,8BC09NEY
2025-11-02,Approved,Elaine Balbino,2025-10-28,2025-10-31,,0.5,GB0020,General Billable,,8BC09NEY
2025-10-30,Approved,Renata C Ishie Campos De Oliveira,2025-10-29,2025-10-31,,0.1,GB0020,General Billable,,8BC09NEY
2025-11-14,Approved,Luana A Munhoz,2025-10-30,2025-10-31,,0.1,GB0020,General Billable,,8BC09NEY
2025-11-14,Approved,Luana A Munhoz,2025-10-31,2025-10-31,,0.1,GB0020,General Billable,,8BC09NEY
2025-11-06,Approved,Thenile Pinheiro Marques,2025-11-04,2025-11-07,,8.0,GB0020,General Billable,,8BC09NEY
2025-11-09,Approved,Elaine Balbino,2025-11-04,2025-11-07,,0.5,GB0020,General Billable,,8BC09NEY
2025-11-14,Approved,Luana A Munhoz,2025-11-04,2025-11-07,,0.1,GB0020,General Billable,,8BC09NEY
2025-11-09,Approved,Elaine Balbino,2025-11-07,2025-11-07,,0.5,GB0020,General Billable,,8BC09NEY
2025-11-13,Approved,Thenile Pinheiro Marques,2025-11-11,2025-11-14,,8.0,GB0020,General Billable,,8BC09NEY
2025-11-15,Approved,Henrique Seiki Tutida,2025-11-11,2025-11-14,,0.1,GB0020,General Billable,,8BC09NEY
2025-11-20,Approved,Elaine Balbino,2025-11-13,2025-11-14,,0.5,GB0020,General Billable,,8BC09NEY
2025-11-20,Approved,Elaine Balbino,2025-11-17,2025-11-21,,0.2,GB0020,General Billable,,8BC09NEY
2025-11-20,Approved,Thenile Pinheiro Marques,2025-11-18,2025-11-21,,8.0,GB0020,General Billable,,8BC09NEY
2025-11-20,Approved,Elaine Balbino,2025-11-19,2025-11-21,,0.5,GB0020,General Billable,,8BC09NEY
2025-11-20,Approved,Elaine Balbino,2025-11-21,2025-11-21,,0.2,GB0020,General Billable,,8BC09NEY
2025-11-28,Approved,Thenile Pinheiro Marques,2025-11-25,2025-11-28,,8.0,GB0020,General Billable,,8BC09NEY
2025-11-25,Approved,Elaine Balbino,2025-11-26,2025-11-28,,0.5,GB0020,General Billable,,8BC09NEY
2025-11-28,Approved,Renata C Ishie Campos De Oliveira,2025-11-26,2025-11-28,,0.2,GB0020,General Billable,,8BC09NEY
2025-11-28,Approved,Renata C Ishie Campos De Oliveira,2025-11-27,2025-11-28,,0.1,GB0020,General Billable,,8BC09NEY
2025-12-04,Approved,Thenile Pinheiro Marques,2025-12-03,2025-12-05,,5.0,GB0020,General Billable,,8BC09NEY
